minimizer_count	distinct_minimizers
1	51617
2	8323
3	2945
4	1105
5	481
6	227
7	150
8	91
9	69
10	55
11	28
12	33
13	28
14	20
15	11
16	17
17	15
18	16
19	10
20	9
21	9
22	10
23	9
24	6
25	9
26	9
27	4
28	7
29	6
30	6
31	5
32	7
33	3
34	3
35	2
36	2
37	2
38	4
39	1
40	4
41	2
43	2
44	5
45	2
46	1
47	2
49	1
50	2
52	1
54	2
59	2
60	3
63	3
66	2
67	1
73	1
75	2
76	1
82	1
88	1
93	1
99	1
101	1
102	1
103	1
109	1
127	1
130	1
143	1
144	1
145	1
171	1
184	1
187	2
189	1
192	1
193	1
198	1
204	1
207	2
209	1
214	1
216	1
224	2
225	1
226	1
228	1
229	1
232	1
234	1
238	1
239	1
241	2
242	1
243	1
244	1
245	4
247	1
248	2
249	4
250	1
251	1
255	2
256	4
258	1
266	1
268	1
270	1
271	1
273	2
274	2
275	1
276	2
277	1
278	1
279	1
280	1
281	1
282	1
283	2
286	1
288	2
289	1
290	1
292	1
293	1
294	1
297	1
298	2
300	1
301	1
302	2
303	1
305	1
306	1
310	1
311	2
313	1
314	1
317	2
319	1
320	1
321	1
323	1
325	3
326	1
329	1
331	1
333	1
334	2
339	1
341	1
343	2
345	1
349	1
350	3
351	1
354	1
358	2
359	2
373	1
374	2
383	1
385	1
390	1
405	1
407	1
412	1
